Test-Name,G-DemBy-Dir,G-DemBy-Suff,G-Demands,G-Eval,G-Suffices,Graph-Nodes,T-DemBy,T-Demands,T-Eval,T-Suffices
desugar/list-comp-1,(0.32507020235061646 : 0.019735444892412874 : Nil),(7.863061797618866 : 0.40080383948567144 : Nil),(0.3249745011329651 : 0.06022084585372107 : Nil),(22.831829804182053 : 1.819646714779392 : Nil),(0.2881484001874924 : 0.0751694573295891 : Nil),(26.8 : 0.0 : Nil),(8.040066096186639 : 0.8100237850049631 : Nil),(4.989333203434944 : 0.77075209008487 : Nil),(9.31215840280056 : 1.3006723852572284 : Nil),(8.492338800430298 : 0.6607016629179019 : Nil)
desugar/list-comp-2,(0.6884995043277741 : 0.09369476535028702 : Nil),(36.8126423984766 : 3.917476432290351 : Nil),(0.4321961015462875 : 0.04219115211999482 : Nil),(84.59957909882068 : 6.710858030664304 : Nil),(0.21944850385189058 : 0.01396941121816886 : Nil),(83.5 : 0.0 : Nil),(29.92298229634762 : 2.6618531056184653 : Nil),(15.983768200874328 : 2.241501822760375 : Nil),(30.16457279622555 : 2.5732803614603044 : Nil),(31.158606693148613 : 2.9004942075007736 : Nil)
desugar/list-comp-3,(0.36652479469776156 : 0.029711753428585886 : Nil),(7.611249399185181 : 0.2026202687252653 : Nil),(0.1653412938117981 : 0.009536053621935017 : Nil),(16.138176000118257 : 0.2732359490107812 : Nil),(0.22548470497131348 : 0.03141133075281956 : Nil),(26.0 : 0.0 : Nil),(5.549796307086945 : 0.10709482780294946 : Nil),(2.647632896900177 : 0.07007198347043216 : Nil),(5.815707191824913 : 0.115386300133555 : Nil),(5.585088300704956 : 0.05011302190739785 : Nil)
desugar/list-comp-4,(0.2905979037284851 : 0.029740586528537723 : Nil),(3.943985792994499 : 0.3241765056132173 : Nil),(0.13535990417003632 : 0.009065884878173357 : Nil),(8.380515399575234 : 0.6821017364024062 : Nil),(0.2087913990020752 : 0.02208513717104453 : Nil),(11.1 : 0.0 : Nil),(2.68597449362278 : 0.1383202164041082 : Nil),(1.5406494915485383 : 0.1643825154904386 : Nil),(3.3800471037626267 : 0.309226916261673 : Nil),(3.157973897457123 : 0.3331699535031367 : Nil)
desugar/list-comp-5,(0.16897450685501098 : 0.004498061645058491 : Nil),(2.0071947038173676 : 0.060545371879059506 : Nil),(0.1110482931137085 : 0.009098312561266357 : Nil),(4.406478902697563 : 0.06749373633698616 : Nil),(0.1445552945137024 : 0.005742306173825613 : Nil),(8.0 : 0.0 : Nil),(1.6055359095335007 : 0.07610958975276606 : Nil),(0.9204250991344451 : 0.05531114760878715 : Nil),(1.7231883972883224 : 0.09318347698081174 : Nil),(1.503230693936348 : 0.06337200115148156 : Nil)
desugar/list-comp-6,(0.036734601855278014 : 0.0008122696075459693 : Nil),(0.15710870027542115 : 0.0019455864275825826 : Nil),(0.03702860176563263 : 0.0013580551995523 : Nil),(0.2753343999385834 : 0.01715369153010957 : Nil),(0.028260594606399535 : 0.0011869483437404768 : Nil),(0.8 : 0.0 : Nil),(0.02918269336223602 : 0.000901266941036999 : Nil),(0.039618298411369324 : 0.0032236618927062766 : Nil),(0.03568060100078583 : 0.0021656482950999246 : Nil),(0.0327299952507019 : 0.0008920223155451719 : Nil)
desugar/list-comp-7,(0.22688230276107788 : 0.00965521815638572 : Nil),(2.8038165003061293 : 0.10794253864377704 : Nil),(0.13167010247707367 : 0.011599402553052132 : Nil),(5.9766849964857105 : 0.21013441259845123 : Nil),(0.19360099732875824 : 0.012026320770245277 : Nil),(9.3 : 0.0 : Nil),(1.9871952027082442 : 0.0884091750113702 : Nil),(1.0018276005983353 : 0.0547554043328012 : Nil),(2.405623695254326 : 0.1277387064717238 : Nil),(2.177052599191666 : 0.1534365206952696 : Nil)
desugar/list-comp-8,(0.20473710000514983 : 0.007628713544681733 : Nil),(3.1071350991725923 : 0.10557018298006729 : Nil),(0.10837900042533874 : 0.0032299038635722212 : Nil),(6.88490130007267 : 0.07222946336673888 : Nil),(0.16318970322608947 : 0.00642370928421989 : Nil),(11.2 : 0.0 : Nil),(2.3289963990449905 : 0.10576321254747106 : Nil),(1.1825574964284897 : 0.04485989464083738 : Nil),(2.560056006908417 : 0.09131010009578641 : Nil),(2.3516084998846054 : 0.07648366545665196 : Nil)
desugar/list-comp-9,(0.2865876019001007 : 0.016912920162021183 : Nil),(4.38970830142498 : 0.1385571621505452 : Nil),(0.1318514972925186 : 0.004906642002405372 : Nil),(8.95765230357647 : 0.24534203799693485 : Nil),(0.19380219280719757 : 0.00835503038131868 : Nil),(13.3 : 0.0 : Nil),(3.067655101418495 : 0.15723604396416185 : Nil),(1.5625654011964798 : 0.09732842271339125 : Nil),(3.365215700864792 : 0.19190648454777645 : Nil),(2.9758298993110657 : 0.08902952777375954 : Nil)
desugar/list-comp-10,(0.14893219769001007 : 0.007622349619860433 : Nil),(1.7405860036611558 : 0.0856950492956215 : Nil),(0.08534100651741028 : 0.005743755170849493 : Nil),(3.028569495677948 : 0.09077485372852942 : Nil),(0.1401233971118927 : 0.007324451635610847 : Nil),(6.1 : 0.0 : Nil),(1.108968797326088 : 0.08602464759525355 : Nil),(0.564951890707016 : 0.011715277547901562 : Nil),(1.049161696434021 : 0.05393297844475402 : Nil),(0.9472977012395859 : 0.042113738870133414 : Nil)
